#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
1,Rolling in the Deep,Adele,1,105,"british soul, pop, pop soul, uk pop","R&B, Pop",21,1/19/2011,3:48,73,77,14,0,51,0,0,-5,G#/A♭ Major,4,8/14/2023,1eq1wUnLVLg4pdEfx9kajC,XL Recordings,4B,,https://i.scdn.co/image/ab67616d00004851ba764098164f221484bcc309
2,Set Fire to the Rain,Adele,1,108,"british soul, pop, pop soul, uk pop","R&B, Pop",21,1/19/2011,4:01,61,68,0,0,47,0,10,-4,D Minor,4,8/14/2023,3CKCZ9pfwAfoMZlMncA1Nc,XL Recordings/Columbia,7A,,https://i.scdn.co/image/ab67616d000048516d4056466fc11f6408be2566
3,Blinding Lights,The Weeknd,93,171,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,3/20/2020,3:20,51,73,0,0,33,0,0,-6,C♯/D♭ Major,4,8/14/2023,0VjIjW4GlUZAMYd2vXMi3b,Republic Records,3B,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
4,Lost on You,LP,6,174,"la pop, women's music","Pop, Folk/Acoustic",Lost on You,12/9/2016,4:28,44,71,10,0,68,0,0,-6,F Minor,4,8/14/2023,3Mh4EaJcfM4v2hpY49rjg6,YENİ DÜNYA MÜZİK,4A,,https://i.scdn.co/image/ab67616d000048513b7f761a6d19ed94abe9b417
5,When We're High,LP,0,113,"la pop, women's music","Pop, Folk/Acoustic",Lost on You (Deluxe Edition),5/12/2017,3:57,75,74,2,0,57,0,10,-5,E Minor,4,8/14/2023,4wKeg6Xb6E5SC5edEqBawz,YENİ DÜNYA MÜZİK,9A,,https://i.scdn.co/image/ab67616d00004851f14f2cfc1b1c38d947a31791
6,Other People,LP,0,91,"la pop, women's music","Pop, Folk/Acoustic",Lost on You,12/9/2016,4:04,55,67,8,0,51,0,10,-5,B Major,4,8/14/2023,440hzEitMR0XzyemFndEiF,YENİ DÜNYA MÜZİK,1B,,https://i.scdn.co/image/ab67616d000048513b7f761a6d19ed94abe9b417
7,Ocean Drive,Duke Dumont,72,115,"edm, house, pop dance, progressive house, uk dance",Electronic,Ocean Drive,7/31/2015,3:26,69,72,1,0,56,0,10,-5,G#/A♭ Minor,4,8/14/2023,0b6wdul3A5sQNpIOv03OxP,EMI,1A,,https://i.scdn.co/image/ab67616d000048512500bcdc1790d13e7ac1a0c0
8,MIDDLE OF THE NIGHT,Elley Duhé,83,186,alt z,Pop,MIDDLE OF THE NIGHT,1/10/2020,3:04,41,61,2,0,9,0,10,-8,E Minor,3,8/14/2023,58HvfVOeJY7lUuCqF0m3ly,Not Fit For Society/RCA Records,9A,https://p.scdn.co/mp3-preview/e7c2441dcf8e321237c35085e4aa05bd0dcfa2c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485153a2e11c1bde700722fecd2e
9,MONTERO (Call Me By Your Name),Lil Nas X,80,179,lgbtq+ hip hop,Hip Hop,MONTERO,9/17/2021,2:17,59,50,29,0,71,20,40,-7,G#/A♭ Minor,4,8/14/2023,1SC5rEoYDGUK4NfG82494W,Columbia,1A,https://p.scdn.co/mp3-preview/6d0edb4a3a0061ad162b279081c3f573e9d0dd40?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be82673b5f79d9658ec0a9fd
10,I WANNA BE YOUR SLAVE,Måneskin,84,133,"indie rock italiano, italian pop","Rock, Pop",Teatro d'ira - Vol. I,3/19/2021,2:53,75,61,0,0,96,0,10,-4,C♯/D♭ Major,4,8/14/2023,4pt5fDVTg5GhEvEtlz9dKk,RCA Records Label,3B,https://p.scdn.co/mp3-preview/485950694eaee2c2887f897603a9bc4acc05c0bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515aa05015cfa7bd2943c29b21
